Date,Open,High,Low,Close,Volume
2022-11-14,148.97,150.28,147.43,148.28,"73,37M"
2022-11-15,152.21,153.59,148.56,150.04,"89,87M"
2022-11-16,149.13,149.87,147.29,148.79,"64,22M"
2022-11-17,146.43,151.48,146.15,150.72,"80,39M"
2022-11-18,152.3,152.7,149.97,151.29,"74,83M"
2022-11-21,150.16,150.37,147.71,148.01,"58,72M"
2022-11-22,148.13,150.42,146.93,150.18,"51,80M"
2022-11-23,149.45,151.83,149.34,151.07,"58,30M"
2022-11-25,148.3,148.88,147.12,148.11,"35,20M"
2022-11-28,145.14,146.64,143.38,144.22,"69,35M"
2022-11-29,144.29,144.81,140.35,141.17,"83,76M"
2022-11-30,141.4,148.72,140.55,148.03,"111,38M"
2022-12-01,148.21,149.13,146.61,148.31,"71,25M"
2022-12-02,145.96,148,145.65,147.81,"65,45M"
2022-12-05,147.77,150.92,145.77,146.63,"68,83M"
2022-12-06,147.07,147.3,141.92,142.91,"64,73M"
2022-12-07,142.19,143.37,140,140.94,"69,72M"
2022-12-08,142.36,143.52,141.1,142.65,"62,13M"
2022-12-09,142.34,145.57,140.9,142.16,"76,10M"
2022-12-12,142.7,144.5,141.06,144.49,"70,46M"
2022-12-13,149.5,149.97,144.24,145.47,"93,89M"
2022-12-14,145.35,146.65,141.16,143.21,"82,29M"
2022-12-15,141.11,141.8,136.02,136.5,"98,93M"
2022-12-16,136.68,137.65,133.73,134.51,"160,16M"
2022-12-19,135.11,135.2,131.32,132.37,"79,59M"
2022-12-20,131.39,133.25,129.89,132.3,"77,43M"
2022-12-21,132.98,136.81,132.75,135.45,"85,93M"
2022-12-22,134.35,134.56,130.3,132.23,"77,85M"
2022-12-23,130.92,132.41,129.64,131.86,"63,81M"
2022-12-27,131.38,131.41,128.72,130.03,"69,01M"
2022-12-28,129.67,131.03,125.87,126.04,"85,44M"
2022-12-29,127.99,130.48,127.73,129.61,"75,70M"
2022-12-30,128.41,129.95,127.43,129.93,"77,03M"
2023-01-03,130.28,130.9,124.17,125.07,"112,12M"
2023-01-04,126.89,128.66,125.08,126.36,"89,11M"
2023-01-05,127.13,127.77,124.76,125.02,"80,96M"
2023-01-06,126.01,130.29,124.89,129.62,"87,75M"
2023-01-09,130.46,133.41,129.89,130.15,"70,79M"
2023-01-10,130.26,131.26,128.12,130.73,"63,90M"
2023-01-11,131.25,133.51,130.46,133.49,"69,46M"
2023-01-12,133.88,134.26,131.44,133.41,"71,38M"
2023-01-13,132.03,134.92,131.66,134.76,"57,81M"
2023-01-17,134.83,137.29,134.13,135.94,"63,65M"
2023-01-18,136.82,138.61,135.03,135.21,"69,67M"
2023-01-19,134.08,136.25,133.77,135.27,"58,28M"
2023-01-20,135.28,138.02,134.22,137.87,"80,22M"
2023-01-23,138.12,143.32,137.9,141.11,"81,76M"
2023-01-24,140.3,143.16,140.3,142.53,"66,44M"
2023-01-25,140.89,142.43,138.81,141.86,"65,80M"
2023-01-26,143.17,144.25,141.9,143.96,"54,11M"
2023-01-27,143.15,147.23,143.08,145.93,"70,56M"
2023-01-30,144.96,145.55,142.85,143,"64,02M"
2023-01-31,142.7,144.34,142.28,144.29,"65,87M"
2023-02-01,143.97,146.61,141.32,145.43,"77,66M"
2023-02-02,148.9,151.18,148.17,150.82,"118,34M"
2023-02-03,148.03,157.38,147.83,154.5,"154,36M"
2023-02-06,152.57,153.1,150.78,151.73,"69,86M"
2023-02-07,150.64,155.23,150.64,154.65,"83,32M"
2023-02-08,153.88,154.58,151.17,151.92,"64,12M"
2023-02-09,153.77,154.33,150.42,150.87,"56,01M"
2023-02-10,149.46,151.34,149.22,151.01,"57,45M"
2023-02-13,150.95,154.26,150.92,153.85,"62,20M"
2023-02-14,152.12,153.77,150.86,153.2,"61,71M"
2023-02-15,153.11,155.5,152.88,155.33,"65,67M"
2023-02-16,153.51,156.33,153.35,153.71,"68,17M"
2023-02-17,152.35,153,150.85,152.55,"59,14M"
2023-02-21,150.2,151.3,148.4,148.48,"58,87M"
2023-02-22,148.87,149.95,147.16,148.91,"51,01M"
2023-02-23,150.09,150.34,147.24,149.4,"48,39M"
2023-02-24,147.11,147.19,145.72,146.71,"55,47M"
2023-02-27,147.71,149.17,147.45,147.92,"45,00M"
2023-02-28,147.05,149.08,146.83,147.41,"50,55M"
2023-03-01,146.83,147.23,145.01,145.31,"55,48M"
2023-03-02,144.38,146.71,143.9,145.91,"52,28M"
2023-03-03,148.04,151.11,147.33,151.03,"70,73M"
2023-03-06,153.79,156.3,153.46,153.83,"87,56M"
2023-03-07,153.7,154.03,151.13,151.6,"56,18M"
2023-03-08,152.81,153.47,151.83,152.87,"47,20M"
2023-03-09,153.56,154.54,150.23,150.59,"53,83M"
2023-03-10,150.21,150.94,147.61,148.5,"68,57M"
2023-03-13,147.8,153.14,147.7,150.47,"84,46M"
2023-03-14,151.28,153.4,150.1,152.59,"73,70M"
2023-03-15,151.19,153.24,149.92,152.99,"77,17M"
2023-03-16,152.16,156.46,151.64,155.85,"76,25M"
2023-03-17,156.08,156.74,154.28,155,"98,94M"
2023-03-20,155.07,157.82,154.15,157.4,"73,64M"
2023-03-21,157.32,159.4,156.54,159.28,"73,94M"
2023-03-22,159.3,162.14,157.81,157.83,"75,70M"
2023-03-23,158.83,161.55,157.68,158.93,"67,62M"
2023-03-24,158.86,160.34,157.85,160.25,"59,26M"
2023-03-27,159.94,160.77,157.87,158.28,"52,39M"
2023-03-28,157.97,158.49,155.98,157.65,"45,99M"
2023-03-29,159.37,161.05,159.35,160.77,"51,31M"
2023-03-30,161.53,162.47,161.27,162.36,"49,50M"
2023-03-31,162.44,165,161.91,164.9,"68,75M"
2023-04-03,164.27,166.29,164.22,166.17,"56,98M"
2023-04-04,166.6,166.84,165.11,165.63,"46,28M"
2023-04-05,164.74,165.05,161.8,163.76,"51,51M"
2023-04-06,162.43,164.96,162,164.66,"45,39M"
2023-04-10,161.42,162.03,160.08,162.03,"47,72M"
2023-04-11,162.35,162.36,160.51,160.8,"47,64M"
2023-04-12,161.22,162.06,159.78,160.1,"50,13M"
2023-04-13,161.63,165.8,161.42,165.56,"68,45M"
2023-04-14,164.59,166.32,163.82,165.21,"49,39M"
2023-04-17,165.09,165.39,164.03,165.23,"41,52M"
2023-04-18,166.1,167.41,165.65,166.47,"49,92M"
2023-04-19,165.8,168.16,165.54,167.63,"47,72M"
2023-04-20,166.09,167.87,165.56,166.65,"52,46M"
2023-04-21,165.05,166.45,164.49,165.02,"58,34M"
2023-04-24,165,165.6,163.89,165.33,"41,95M"
2023-04-25,165.19,166.3,163.73,163.77,"48,71M"
2023-04-26,163.05,165.28,162.8,163.76,"45,50M"
2023-04-27,165.19,168.56,165.19,168.41,"64,90M"
2023-04-28,168.49,169.85,167.88,169.68,"55,28M"
2023-05-01,169.28,170.45,168.64,169.59,"52,47M"
2023-05-02,170.09,170.35,167.54,168.54,"48,43M"
2023-05-03,169.5,170.92,167.16,167.45,"65,14M"
2023-05-04,164.89,167.04,164.31,165.79,"81,24M"
2023-05-05,170.98,174.3,170.76,173.57,"113,45M"
2023-05-08,172.48,173.85,172.11,173.5,"55,96M"
2023-05-09,173.05,173.54,171.6,171.77,"45,33M"
2023-05-10,173.02,174.03,171.9,173.55,"53,72M"
2023-05-11,173.85,174.59,172.17,173.75,"49,51M"
2023-05-12,173.62,174.06,171,172.57,"45,53M"
2023-05-15,173.16,173.21,171.47,172.07,"37,27M"
2023-05-16,171.99,173.14,171.8,172.07,"42,11M"
2023-05-17,171.71,172.93,170.42,172.69,"57,95M"
2023-05-18,173,175.24,172.58,175.05,"65,50M"
2023-05-19,176.39,176.39,174.94,175.16,"55,81M"
2023-05-22,173.98,174.71,173.45,174.2,"43,57M"
2023-05-23,173.13,173.38,171.27,171.56,"50,75M"
2023-05-24,171.09,172.42,170.52,171.84,"45,14M"
2023-05-25,172.41,173.9,171.69,172.99,"56,06M"
2023-05-26,173.32,175.77,173.11,175.43,"54,84M"
2023-05-30,176.96,178.99,176.57,177.3,"55,96M"
2023-05-31,177.32,179.35,176.76,177.25,"99,63M"
2023-06-01,177.7,180.12,176.93,180.09,"68,90M"
2023-06-02,181.03,181.78,179.26,180.95,"62,00M"
2023-06-05,182.63,184.95,178.04,179.58,"121,95M"
2023-06-06,179.96,180.12,177.43,179.21,"64,85M"
2023-06-07,178.44,181.21,177.32,177.82,"61,94M"
2023-06-08,177.9,180.84,177.46,180.57,"50,21M"
2023-06-09,181.5,182.23,180.63,180.96,"48,90M"
2023-06-12,181.27,183.89,180.97,183.79,"54,76M"
2023-06-13,182.8,184.15,182.44,183.31,"54,93M"
2023-06-14,183.37,184.39,182.02,183.95,"57,46M"
2023-06-15,183.96,186.52,183.78,186.01,"65,43M"
2023-06-16,186.73,186.99,184.27,184.92,"101,26M"
2023-06-20,184.41,186.1,184.41,185.01,"49,80M"
2023-06-21,184.9,185.41,182.59,183.96,"49,52M"
2023-06-22,183.74,187.04,183.67,187,"51,25M"
2023-06-23,185.55,187.56,185.01,186.68,"53,12M"
2023-06-26,186.83,188.05,185.23,185.27,"48,09M"
2023-06-27,185.89,188.39,185.67,188.06,"50,73M"
2023-06-28,187.93,189.9,187.6,189.25,"51,22M"
2023-06-29,189.08,190.07,188.94,189.59,"46,35M"
2023-06-30,191.63,194.48,191.26,193.97,"85,21M"
2023-07-03,193.78,193.88,191.76,192.46,"31,46M"
2023-07-05,191.57,192.98,190.62,191.33,"46,92M"
2023-07-06,189.84,192.02,189.2,191.81,"45,16M"
2023-07-07,191.41,192.67,190.24,190.68,"46,82M"
2023-07-10,189.26,189.99,187.04,188.61,"59,92M"
2023-07-11,189.16,189.3,186.6,188.08,"46,64M"
2023-07-12,189.68,191.7,188.47,189.77,"60,75M"
2023-07-13,190.5,191.19,189.78,190.54,"41,34M"
2023-07-14,190.23,191.18,189.63,190.69,"41,62M"
2023-07-17,191.9,194.32,191.81,193.99,"50,52M"
2023-07-18,193.35,194.33,192.41,193.73,"48,35M"
2023-07-19,193.1,198.23,192.65,195.1,"80,51M"
2023-07-20,195.09,196.47,192.49,193.13,"59,58M"
2023-07-21,194.1,194.97,191.23,191.94,"71,95M"
2023-07-24,193.41,194.91,192.25,192.75,"45,51M"
2023-07-25,193.33,194.44,192.91,193.62,"37,28M"
2023-07-26,193.67,195.64,193.32,194.5,"47,47M"
2023-07-27,196.02,197.2,192.55,193.22,"47,46M"
2023-07-28,194.67,196.63,194.14,195.83,"48,29M"
2023-07-31,196.06,196.49,195.26,196.45,"38,82M"
2023-08-01,196.24,196.73,195.28,195.6,"35,28M"
2023-08-02,195.04,195.18,191.85,192.58,"50,39M"
2023-08-03,191.57,192.37,190.69,191.17,"62,24M"
2023-08-04,185.52,187.38,181.92,181.99,"115,96M"
2023-08-07,182.13,183.13,177.35,178.85,"97,58M"
2023-08-08,179.69,180.27,177.58,179.8,"67,82M"
2023-08-09,180.87,180.93,177.01,178.19,"60,38M"
2023-08-10,179.48,180.75,177.6,177.97,"54,69M"
2023-08-11,177.32,178.62,176.55,177.79,"52,04M"
2023-08-14,177.97,179.69,177.3,179.46,"43,68M"
2023-08-15,178.88,179.48,177.05,177.45,"43,62M"
2023-08-16,177.13,178.54,176.5,176.57,"46,96M"
2023-08-17,177.14,177.51,173.48,174,"66,06M"
2023-08-18,172.3,175.1,171.96,174.49,"61,17M"
2023-08-21,175.07,176.13,173.74,175.84,"46,31M"
2023-08-22,177.06,177.68,176.25,177.23,"42,08M"
2023-08-23,178.52,181.55,178.32,181.12,"52,72M"
2023-08-24,180.67,181.1,176.01,176.38,"54,95M"
2023-08-25,177.38,179.15,175.82,178.61,"51,45M"
2023-08-28,180.09,180.59,178.54,180.19,"43,82M"
2023-08-29,179.7,184.9,179.5,184.12,"53,00M"
2023-08-30,184.94,187.85,184.74,187.65,"60,81M"
2023-08-31,187.84,189.12,187.48,187.87,"60,79M"
2023-09-01,189.49,189.92,188.28,189.46,"45,77M"
2023-09-05,188.28,189.98,187.61,189.7,"45,28M"
2023-09-06,188.4,188.85,181.47,182.91,"81,76M"
2023-09-07,175.18,178.21,173.54,177.56,"112,49M"
2023-09-08,178.35,180.24,177.79,178.18,"65,60M"
2023-09-11,180.07,180.3,177.34,179.36,"58,95M"
2023-09-12,179.49,180.13,174.82,176.3,"90,37M"
2023-09-13,176.51,177.3,173.98,174.21,"84,27M"
2023-09-14,174,176.1,173.58,175.74,"60,90M"
2023-09-15,176.48,176.49,173.82,175.01,"109,26M"
2023-09-18,176.48,179.38,176.17,177.97,"67,26M"
2023-09-19,177.52,179.63,177.13,179.07,"51,83M"
2023-09-20,179.26,179.7,175.4,175.49,"58,44M"
2023-09-21,174.55,176.3,173.86,173.93,"63,15M"
2023-09-22,174.67,177.08,174.05,174.79,"56,73M"
2023-09-25,174.2,176.97,174.15,176.08,"46,17M"
2023-09-26,174.82,175.2,171.66,171.96,"64,59M"
2023-09-27,172.62,173.04,169.05,170.43,"66,92M"
2023-09-28,169.34,172.03,167.62,170.69,"56,29M"
2023-09-29,172.02,173.07,170.34,171.21,"51,86M"
2023-10-02,171.22,174.3,170.93,173.75,"52,16M"
2023-10-03,172.26,173.63,170.82,172.4,"49,59M"
2023-10-04,171.09,174.21,170.97,173.66,"53,02M"
2023-10-05,173.79,175.45,172.68,174.91,"48,53M"
2023-10-06,173.8,177.99,173.18,177.49,"57,27M"
2023-10-09,176.81,179.05,175.8,178.99,"42,39M"
2023-10-10,178.1,179.72,177.95,178.39,"43,70M"
2023-10-11,178.2,179.85,177.6,179.8,"47,55M"
2023-10-12,180.07,182.34,179.04,180.71,"56,74M"
2023-10-13,181.42,181.93,178.14,178.85,"51,46M"
2023-10-16,176.75,179.07,176.51,178.72,"52,52M"
2023-10-17,176.65,178.42,174.8,177.15,"57,55M"
2023-10-18,175.58,177.57,175.11,175.84,"54,76M"
2023-10-19,176.04,177.84,175.19,175.46,"59,30M"
2023-10-20,175.31,175.42,172.64,172.88,"64,24M"
2023-10-23,170.91,174.01,169.93,173,"55,98M"
2023-10-24,173.05,173.67,171.45,173.44,"43,82M"
2023-10-25,171.88,173.06,170.65,171.1,"57,16M"
2023-10-26,170.37,171.38,165.67,166.89,"70,63M"
2023-10-27,166.91,168.96,166.83,168.22,"58,50M"
2023-10-30,169.02,171.17,168.87,170.29,"51,13M"
2023-10-31,169.35,170.9,167.9,170.77,"44,85M"
2023-11-01,171,174.23,170.12,173.97,"56,93M"
2023-11-02,175.52,177.78,175.46,177.57,"77,33M"
2023-11-03,174.24,176.82,173.35,176.65,"79,83M"
2023-11-06,176.38,179.43,176.21,179.23,"63,84M"
2023-11-07,179.18,182.44,178.97,181.82,"70,53M"
2023-11-08,182.35,183.45,181.59,182.89,"49,34M"
2023-11-09,182.96,184.12,181.81,182.41,"53,76M"
2023-11-10,183.97,186.57,183.53,186.4,"66,18M"
2023-11-13,185.82,186.03,184.21,184.8,"43,63M"
2023-11-14,187.7,188.11,186.3,187.44,"60,11M"
2023-11-15,187.85,189.5,187.78,188.01,"53,79M"
2023-11-16,189.57,190.96,188.65,189.71,"54,41M"
2023-11-17,190.25,190.38,188.57,189.69,"50,94M"
2023-11-20,189.89,191.9,189.88,191.45,"46,54M"
2023-11-21,191.41,191.52,189.74,190.64,"38,13M"
2023-11-22,191.49,192.93,190.82,191.31,"39,63M"
2023-11-24,190.87,190.9,189.25,189.97,"24,05M"
2023-11-27,189.92,190.67,188.9,189.79,"40,55M"
2023-11-28,189.78,191.08,189.4,190.4,"38,42M"
2023-11-29,190.9,192.09,188.97,189.37,"43,01M"
2023-11-30,189.84,190.32,188.19,189.95,"48,79M"
2023-12-01,190.33,191.56,189.23,191.24,"45,70M"
2023-12-04,189.98,190.05,187.45,189.43,"43,39M"
2023-12-05,190.21,194.4,190.18,193.42,"66,63M"
2023-12-06,194.45,194.76,192.11,192.32,"41,09M"
2023-12-07,193.63,195,193.59,194.27,"47,48M"
2023-12-08,194.2,195.99,193.67,195.71,"53,41M"
2023-12-11,193.11,193.49,191.42,193.18,"60,94M"
2023-12-12,193.08,194.72,191.72,194.71,"52,70M"
2023-12-13,195.09,198,194.85,197.96,"70,40M"
2023-12-14,198.02,199.62,196.16,198.11,"66,83M"
2023-12-15,197.53,198.4,197,197.57,"128,54M"
2023-12-18,196.09,196.63,194.39,195.89,"55,75M"
2023-12-19,196.16,196.95,195.89,196.94,"40,71M"
2023-12-20,196.9,197.68,194.83,194.83,"52,24M"
2023-12-21,196.1,197.08,193.5,194.68,"46,48M"
2023-12-22,195.18,195.41,192.97,193.6,"37,15M"
2023-12-26,193.61,193.89,192.83,193.05,"28,92M"
2023-12-27,192.49,193.5,191.09,193.15,"48,09M"
2023-12-28,194.14,194.66,193.17,193.58,"34,05M"
2023-12-29,193.9,194.4,191.73,192.53,"42,67M"
2024-01-02,187.15,188.44,183.88,185.64,"82,49M"
2024-01-03,184.22,185.88,183.43,184.25,"58,41M"
2024-01-04,182.15,183.09,180.88,181.91,"71,98M"
2024-01-05,181.99,182.76,180.17,181.18,"62,38M"
2024-01-08,182.09,185.6,181.5,185.56,"59,14M"
2024-01-09,183.92,185.15,182.73,185.14,"42,84M"
2024-01-10,184.35,186.4,183.92,186.19,"46,79M"
2024-01-11,186.54,187.05,183.62,185.59,"49,13M"
2024-01-12,186.06,186.74,185.19,185.92,"40,48M"
2024-01-16,182.16,184.26,180.93,183.63,"65,60M"
2024-01-17,181.27,182.93,180.3,182.68,"47,32M"
2024-01-18,186.09,189.14,185.83,188.63,"78,01M"
2024-01-19,189.33,191.95,188.82,191.56,"68,90M"
2024-01-22,192.3,195.33,192.26,193.89,"60,13M"
2024-01-23,195.02,195.75,193.83,195.18,"42,36M"
2024-01-24,195.42,196.38,194.34,194.5,"53,63M"
2024-01-25,195.22,196.27,193.11,194.17,"54,82M"
2024-01-26,194.27,194.76,191.94,192.42,"44,59M"
2024-01-29,192.01,192.2,189.58,191.73,"47,15M"
2024-01-30,190.94,191.8,187.47,188.04,"55,86M"
2024-01-31,187.04,187.1,184.35,184.4,"55,47M"
2024-02-01,183.99,186.95,183.82,186.86,"64,89M"
2024-02-02,179.86,187.33,179.25,185.85,"102,55M"
2024-02-05,188.15,189.25,185.84,187.68,"69,67M"
2024-02-06,186.86,189.31,186.77,189.3,"43,49M"
2024-02-07,190.64,191.05,188.61,189.41,"53,44M"
2024-02-08,189.38,189.54,187.35,188.32,"40,96M"
2024-02-09,188.65,189.99,188,188.85,"45,16M"
2024-02-12,188.41,188.67,186.79,187.15,"41,78M"
2024-02-13,185.77,186.21,183.51,185.04,"56,53M"
2024-02-14,185.32,185.53,182.44,184.15,"54,63M"
2024-02-15,183.55,184.49,181.35,183.86,"65,43M"
2024-02-16,183.42,184.85,181.66,182.31,"49,75M"
2024-02-20,181.79,182.43,180,181.56,"53,67M"
2024-02-21,181.94,182.89,180.66,182.32,"41,53M"
2024-02-22,183.48,184.96,182.46,184.37,"52,29M"
2024-02-23,185.01,185.04,182.23,182.52,"45,12M"
2024-02-26,182.24,182.76,180.65,181.16,"40,87M"
2024-02-27,181.1,183.92,179.56,182.63,"54,32M"
2024-02-28,182.51,183.12,180.13,181.42,"48,95M"
2024-02-29,181.27,182.57,179.53,180.75,"136,68M"
2024-03-01,179.55,180.53,177.38,179.66,"73,56M"
2024-03-04,176.15,176.9,173.79,175.1,"81,51M"
2024-03-05,170.76,172.04,169.62,170.12,"95,13M"
2024-03-06,171.06,171.24,168.68,169.12,"68,59M"
2024-03-07,169.15,170.73,168.49,169,"71,77M"
2024-03-08,169,173.7,168.94,170.73,"76,27M"
2024-03-11,172.94,174.38,172.05,172.75,"60,14M"
2024-03-12,173.15,174.03,171.01,173.23,"59,83M"
2024-03-13,172.77,173.18,170.76,171.13,"52,49M"
2024-03-14,172.91,174.31,172.05,173,"72,91M"
2024-03-15,171.17,172.62,170.29,172.62,"121,75M"
2024-03-18,175.57,177.71,173.52,173.72,"75,60M"
2024-03-19,174.34,176.6,173.03,176.08,"55,22M"
2024-03-20,175.72,178.67,175.09,178.67,"53,42M"
2024-03-21,177.05,177.49,170.84,171.37,"106,18M"
2024-03-22,171.76,173.05,170.06,172.28,"71,16M"
2024-03-25,170.57,171.94,169.45,170.85,"54,29M"
2024-03-26,170,171.42,169.58,169.71,"57,39M"
2024-03-27,170.41,173.6,170.11,173.31,"60,27M"
2024-03-28,171.75,172.23,170.51,171.48,"65,67M"
2024-04-01,171.19,171.25,169.48,170.03,"46,24M"
2024-04-02,169.08,169.34,168.23,168.84,"49,33M"
2024-04-03,168.79,170.68,168.58,169.65,"47,69M"
2024-04-04,170.29,171.92,168.82,168.82,"53,70M"
2024-04-05,169.59,170.39,168.95,169.58,"42,10M"
2024-04-08,169.03,169.2,168.24,168.45,"37,43M"
2024-04-09,168.7,170.08,168.35,169.67,"42,45M"
2024-04-10,168.8,169.09,167.11,167.78,"49,71M"
2024-04-11,168.34,175.46,168.16,175.04,"91,07M"
2024-04-12,174.26,178.36,174.21,176.55,"101,67M"
2024-04-15,175.36,176.63,172.5,172.69,"73,53M"
2024-04-16,171.75,173.76,168.27,169.38,"73,71M"
2024-04-17,169.61,170.65,168,168,"50,90M"
2024-04-18,168.03,168.64,166.55,167.04,"43,12M"
2024-04-19,166.21,166.4,164.07,165,"68,15M"
